Query ID,Query Text,Ground Truth Chunk(s),Disputed?,BM25-only Hit?,Dense-only Hit?,Category,Hybrid Hit at Optimal α?,Corpus Gap?
Q001,when are customer satisfaction surveys sent?,D034,no,hit,miss,exact-match,hit,no
Q002,what is the HIPAA BAA process for healthcare customers?,no answer in corpus,no,miss,miss,no-coverage,miss,yes
Q003,case summary came out in the default language,D062,no,hit,miss,exact-match,hit,no
Q004,SAML-AC-07 after changing our workspace slug,D009,no,hit,hit,mixed,hit,no
Q005,how do I connect LumenDesk to QuickBooks Online?,no answer in corpus,no,miss,miss,no-coverage,miss,yes
Q006,does choosing a cheaper tier erase yesterday's records?,D022,no,miss,hit,semantic,hit,no
Q007,how can finished work become active again because somebody wrote back?,D020,no,miss,hit,semantic,hit,no
Q008,what happens to cases when a workspace is archived?,D032,no,hit,hit,mixed,hit,no
Q009,"when responsibility changes hands, what follows the new person?",D021,no,hit,hit,mixed,hit,no
Q010,do archived projects and their audit logs stay searchable after the normal retention period ends?,disputed: D047 or D063,yes,hit,miss,exact-match,hit,no
Q011,why do messages from different places appear as one continuous thread?,D024,no,hit,hit,mixed,hit,no
Q012,how do users get routed to company login and also created from the identity provider?,"D036, D037",no,hit,hit,mixed,hit,no
Q013,where will incoming correspondence land after its team destination is removed?,D027,no,miss,hit,semantic,hit,no
Q014,the outage is over; how do I rerun the same webhook payloads?,D040,no,hit,miss,exact-match,hit,no
Q015,nightly export stopped with EXPT-772,D012,no,hit,miss,exact-match,hit,no
Q016,is the sign out timer related to token expiration?,"D044, D045",no,hit,miss,exact-match,hit,no
Q017,agent phone is not getting queue alerts,D054,no,hit,miss,exact-match,miss,no
Q018,idp user creation returns SCIM-409,D010,no,hit,miss,exact-match,hit,no
Q019,I see two upload size docs; which file size limit applies now?,"D050, D051",no,hit,miss,exact-match,hit,no
Q020,how do I restore a deleted workspace myself?,no answer in corpus,no,miss,miss,no-coverage,miss,yes
Q021,what stays for audit after masking private details from old messages?,D028,no,hit,hit,mixed,hit,no
Q022,same phone suggested combining customers during bulk import,D053,no,hit,miss,exact-match,miss,no
Q023,"when several escalation policies match a custom status, is the queue policy or the status category more important?",disputed: D035 or D060,yes,hit,miss,exact-match,hit,no
Q024,can a legal hold stop one customer's messages from being deleted?,no answer in corpus,no,miss,miss,no-coverage,miss,yes
Q025,renewal failed with PAY-1189,D007,no,hit,miss,exact-match,hit,no
Q026,can I resend failed webhooks after the receiver comes back?,D040,no,hit,miss,exact-match,hit,no
Q027,why is the Canvas mobile draft conflict sync still waiting?,D140,no,miss,miss,mixed,hit,no
Q028,webhook API gives HTTP 410 for our endpoint,D005,no,hit,hit,mixed,hit,no
Q029,Teams notifications need what kind of approval?,D057,no,hit,miss,exact-match,hit,no
Q030,how can remaining capacity drop sooner compared with the forecast?,D026,no,miss,hit,semantic,hit,no
Q031,"after a signing key change during an outage, should I rotate the secret or replay missed webhooks?",disputed: D040 or D041,yes,hit,miss,exact-match,hit,no
