workflow_id,owner,round,model,model_version,session_id,overall,accuracy,efficiency,writing_quality,instruction_following,collaboration,citation_quality,gui_action_correctness,duration_minutes_reported,steering_count,final_rank,status,evidence_file
WF-140,Hetal,1,A,"gpt-5.6-cyan / Extra High",019fad1a-edbe-7112-976c-42e285cd0a97,4,4,4,5,4,4,5,N/A,12,0,3,complete,Hetal/WF-140/round-1/model-A.md
WF-140,Hetal,1,B,"gpt-5.6-rose / High",019fad04-297e-7ba2-bf42-3d52fc77fda3,5,5,5,5,5,5,4,5,5.5,0,2,complete,Hetal/WF-140/round-1/model-B.md
WF-140,Hetal,1,C,"gpt-5.6-cyan / High",019facd3-7792-7f53-b337-4a175ba1b09b,3,4,5,4,4,3,4,N/A,7,0,4,complete,Hetal/WF-140/round-1/model-C.md
WF-140,Hetal,1,D,"gpt-5.6-rose / Extra High",019fad44-2e46-7cc0-afed-7761aa732a93,5,6,5,5,5,5,5,5,7,0,1,complete,Hetal/WF-140/round-1/model-D.md
WF-310,Hetal,1,A,"gpt-5.6-cyan / Extra High",019fad9a-c963-7d33-964e-f3560eaa9390,4,5,4,4,6,4,4,6,28,2,4,complete,Hetal/WF-310/round-1/model-A.md
WF-310,Hetal,1,B,"gpt-5.6-rose / High",019fad8a-1095-7ad2-8833-2dc280b82a03,5,6,5,4,6,5,5,5,4,0,1,complete,Hetal/WF-310/round-1/model-B.md
WF-310,Hetal,1,C,"gpt-5.6-cyan / High",019fad69-b502-7f42-8143-d50dc755e618,4,5,5,4,6,4,4,5,9,1,3,complete,Hetal/WF-310/round-1/model-C.md
WF-310,Hetal,1,D,"gpt-5.6-rose / Extra High",019fadbe-8175-7f01-bc6a-e55121efdf5f,5,5,5,5,6,5,5,5,7,0,2,complete,Hetal/WF-310/round-1/model-D.md
WF-036,Kashyap,1,A,"gpt-5.6-cyan / Extra High",019f9323-5aaf-78d3-aa00-46323241225a,4,5,5,5,4,5,4,5,28,2,1,complete,Kashyap/WF-036/round-1/model-A.md
WF-036,Kashyap,1,B,"gpt-5.6-rose / High",019f9300-f19a-73a0-8f76-2ecf6f049fcf,4,5,3,5,4,3,4,3,31,5,3,complete,Kashyap/WF-036/round-1/model-B.md
WF-036,Kashyap,1,C,"gpt-5.6-cyan / High",019f92d4-2f66-71d0-9da2-29c95b412cf5,4,5,4,4,4,4,5,4,37,2,2,complete,Kashyap/WF-036/round-1/model-C.md
WF-036,Kashyap,1,D,"gpt-5.6-rose / Extra High",019f9345-644f-7fc1-a36e-25bcacb4317d,3,4,3,5,3,3,4,3,29,5,4,complete,Kashyap/WF-036/round-1/model-D.md
WF-076,Kashyap,1,A,"gpt-5.6-cyan / Extra High",019fa33b-e8c2-71e1-b965-0909a83aaf2a,5,5,4,4,5,5,4,4,45,0,1,complete,Kashyap/WF-076/round-1/model-A.md
WF-076,Kashyap,1,B,"gpt-5.6-rose / High",019fa302-5027-7243-98b4-f6b14df6efc7,3,4,2,4,4,2,5,2,40,6,4,complete,Kashyap/WF-076/round-1/model-B.md
WF-076,Kashyap,1,C,"gpt-5.6-cyan / High",019fa2d1-ec27-7d20-9ca9-d42d51f4416c,4,4,4,4,3,3,4,4,43,1,3,complete,Kashyap/WF-076/round-1/model-C.md
WF-076,Kashyap,1,D,"gpt-5.6-rose / Extra High",019fa370-34f9-7020-84be-058cb6baea67,4,4,3,4,4,4,4,4,37,1,2,complete,Kashyap/WF-076/round-1/model-D.md
WF-096,Kashyap,1,A,"gpt-5.6-cyan / Extra High",019fa265-0040-78f2-9bba-6e420dc2f556,4,4,3,5,4,5,5,N/A,61,0,3,complete,Kashyap/WF-096/round-1/model-A.md
WF-096,Kashyap,1,B,"gpt-5.6-rose / High",019fa240-bdac-7fd2-9ecb-9f8cda37b989,5,5,4,5,5,6,5,5,31,0,2,complete,Kashyap/WF-096/round-1/model-B.md
WF-096,Kashyap,1,C,"gpt-5.6-cyan / High",019fa207-9cf9-7401-88a3-3c5fa0a3f367,4,4,3,5,4,4,5,N/A,46,1,3,complete,Kashyap/WF-096/round-1/model-C.md
WF-096,Kashyap,1,D,"gpt-5.6-rose / Extra High",019fa2b0-6c88-7560-b3e9-66d3e43b4f84,5,5,5,5,5,6,5,N/A,26,1,1,complete,Kashyap/WF-096/round-1/model-D.md
WF-116,Kashyap,1,A,"gpt-5.6-cyan / Extra High",019f93e6-0ae5-75f0-bed3-7a210df95c5a,5,6,6,4,5,6,5,N/A,33.5,0,1,complete,Kashyap/WF-116/round-1/model-A.md
WF-116,Kashyap,1,B,"gpt-5.6-rose / High",019f93a0-06c4-73b3-82ba-ca9ee632ecf9,4,5,4,4,4,4,5,5,28,1,4,complete,Kashyap/WF-116/round-1/model-B.md
WF-116,Kashyap,1,C,"gpt-5.6-cyan / High",019f9375-0214-7982-8599-1d9907257d51,4,4,5,5,5,4,5,N/A,34,0,3,complete,Kashyap/WF-116/round-1/model-C.md
WF-116,Kashyap,1,D,"gpt-5.6-rose / Extra High",019f9410-396a-7f31-9451-49f2b0e0e120,5,6,4,6,6,4,6,N/A,26,1,2,complete,Kashyap/WF-116/round-1/model-D.md
