Query ID,Query Text,Ground Truth Chunk(s),Disputed?,BM25-only Hit?,Dense-only Hit?,Category,Hybrid Hit at Optimal α?,Corpus Gap?
Q001,when are customer satisfaction surveys sent?,D034,no,yes,no,exact-match,yes,no
Q002,what is the HIPAA BAA process for healthcare customers?,no answer in corpus,no,no,no,no-coverage,no,yes
Q003,case summary came out in the default language,D062,no,yes,no,exact-match,yes,no
Q004,SAML-AC-07 after changing our workspace slug,D009,no,yes,yes,mixed,yes,no
Q005,how do I connect LumenDesk to QuickBooks Online?,no answer in corpus,no,no,no,no-coverage,no,yes
Q006,does choosing a cheaper tier erase yesterday's records?,D022,no,no,yes,semantic,yes,no
Q007,how can finished work become active again because somebody wrote back?,D020,no,no,yes,semantic,yes,no
Q008,what happens to cases when a workspace is archived?,D032,no,yes,yes,mixed,yes,no
Q009,"when responsibility changes hands, what follows the new person?",D021,no,yes,yes,mixed,yes,no
Q010,do archived projects and their audit logs stay searchable after the normal retention period ends?,disputed: D047 or D063,yes,yes,no,exact-match,yes,no
Q011,why do messages from different places appear as one continuous thread?,D024,no,yes,yes,mixed,yes,no
Q012,how do users get routed to company login and also created from the identity provider?,"D036, D037",no,yes,yes,mixed,yes,no
Q013,where will incoming correspondence land after its team destination is removed?,D027,no,no,yes,semantic,yes,no
Q014,the outage is over; how do I rerun the same webhook payloads?,D040,no,yes,no,exact-match,yes,no
Q015,nightly export stopped with EXPT-772,D012,no,yes,no,exact-match,yes,no
Q016,is the sign out timer related to token expiration?,"D044, D045",no,yes,no,exact-match,yes,no
Q017,agent phone is not getting queue alerts,D054,no,yes,no,exact-match,no,no
Q018,idp user creation returns SCIM-409,D010,no,yes,no,exact-match,yes,no
Q019,I see two upload size docs; which file size limit applies now?,"D050, D051",no,yes,no,exact-match,yes,no
Q020,how do I restore a deleted workspace myself?,no answer in corpus,no,no,no,no-coverage,no,yes
Q021,what stays for audit after masking private details from old messages?,D028,no,yes,yes,mixed,yes,no
Q022,same phone suggested combining customers during bulk import,D053,no,yes,no,exact-match,no,no
Q023,"when several escalation policies match a custom status, is the queue policy or the status category more important?",disputed: D035 or D060,yes,yes,no,exact-match,yes,no
Q024,can a legal hold stop one customer's messages from being deleted?,no answer in corpus,no,no,no,no-coverage,no,yes
Q025,renewal failed with PAY-1189,D007,no,yes,no,exact-match,yes,no
Q026,can I resend failed webhooks after the receiver comes back?,D040,no,yes,no,exact-match,yes,no
Q027,why is the Canvas mobile draft conflict sync still waiting?,D140,no,no,no,mixed,yes,no
Q028,webhook API gives HTTP 410 for our endpoint,D005,no,yes,yes,mixed,yes,no
Q029,Teams notifications need what kind of approval?,D057,no,yes,no,exact-match,yes,no
Q030,how can remaining capacity drop sooner compared with the forecast?,D026,no,no,yes,semantic,yes,no
Q031,"after a signing key change during an outage, should I rotate the secret or replay missed webhooks?",disputed: D040 or D041,yes,yes,no,exact-match,yes,no
Q032,does the mobile app support offline ticket drafting?,no answer in corpus,no,no,no,no-coverage,no,yes
Q033,what is retained when we archive things versus delete a sandbox?,"D046, D047",no,no,no,no-coverage,no,no
Q034,should a survey be suppressed when a message was first marked as spam and later restored?,disputed: D030 or D034,yes,yes,yes,mixed,yes,no
Q035,what comes with SKU-ENT-71?,D003,no,yes,yes,mixed,yes,no
Q036,"429 from api, is the bucket per token?",D008,no,yes,no,exact-match,yes,no
Q037,which escalation rule wins if several match?,D035,no,yes,no,exact-match,yes,no
Q038,why can't the Slack app read a private channel?,D056,no,yes,yes,mixed,yes,no
Q039,what stays for audit after masking private details from imported messages?,D028,no,yes,yes,mixed,yes,no
Q040,same phone suggested combining customers after a workspace sync,D053,no,no,no,no-coverage,no,no
Q041,can I test a rule without changing real tickets?,D059,no,yes,no,exact-match,yes,no
Q042,exports and imports both paused during changes; where are those explained?,"D042, D043",no,yes,no,exact-match,no,no
Q043,need to retry a stored delivery without creating a new event,D040,no,yes,no,exact-match,yes,no
Q044,can we choose our own encryption key for stored messages?,no answer in corpus,no,no,no,no-coverage,no,yes
Q045,why does a French article fall back to English?,D061,no,yes,no,exact-match,yes,no
Q046,where can I check Prism renewal ledger balance and correction status?,"D081, D088",no,yes,yes,mixed,yes,no
Q047,receiver is fixed now; can we replay the old deliveries?,D040,no,yes,no,exact-match,yes,no
Q048,where do I set session_idle_minutes?,D004,no,yes,yes,mixed,yes,no
Q049,why is our Atlas relay queue still paused after tenant recovery?,D065,no,no,no,mixed,yes,no
Q050,why were our usual follow-up actions silent while we loaded many customers?,D025,no,no,yes,semantic,yes,no
Q051,why was a duplicate customer suggested with the same phone?,D053,no,yes,no,exact-match,yes,no
Q052,why is the Prism renewal ledger correction still locked?,D080,no,no,no,mixed,yes,no
Q053,"after masking private details, what evidence is preserved for reviewers?",D028,no,no,yes,semantic,yes,no
Q054,why did the solved ticket open again after the customer answered?,D033,no,yes,no,exact-match,yes,no
Q055,where can I review Beacon mailbox owner transfer activity?,"D096, D104",no,yes,yes,mixed,yes,no
