Query ID,Query Text,Ground Truth Chunk(s),Disputed?,BM25-only Hit?,Dense-only Hit?,Category,Hybrid Hit at Optimal α?,Corpus Gap?
Q001,when are customer satisfaction surveys sent?,D034,No,Hit,Miss,exact-match,Hit,No
Q002,what is the HIPAA BAA process for healthcare customers?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q003,case summary came out in the default language,D062,No,Hit,Miss,exact-match,Hit,No
Q004,SAML-AC-07 after changing our workspace slug,D009,No,Hit,Hit,mixed,Hit,No
Q005,how do I connect LumenDesk to QuickBooks Online?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q006,does choosing a cheaper tier erase yesterday's records?,D022,No,Miss,Hit,semantic,Hit,No
Q007,how can finished work become active again because somebody wrote back?,D020,No,Miss,Hit,semantic,Hit,No
Q008,what happens to cases when a workspace is archived?,D032,No,Hit,Hit,mixed,Hit,No
Q009,"when responsibility changes hands, what follows the new person?",D021,No,Hit,Hit,mixed,Hit,No
Q010,do archived projects and their audit logs stay searchable after the normal retention period ends?,disputed: D047 or D063,Yes,Hit,Miss,exact-match,Hit,No
Q011,why do messages from different places appear as one continuous thread?,D024,No,Hit,Hit,mixed,Hit,No
Q012,how do users get routed to company login and also created from the identity provider?,"D036, D037",No,Hit,Hit,mixed,Hit,No
Q013,where will incoming correspondence land after its team destination is removed?,D027,No,Miss,Hit,semantic,Hit,No
Q014,the outage is over; how do I rerun the same webhook payloads?,D040,No,Hit,Miss,exact-match,Hit,No
Q015,nightly export stopped with EXPT-772,D012,No,Hit,Miss,exact-match,Hit,No
Q016,is the sign out timer related to token expiration?,"D044, D045",No,Hit,Miss,exact-match,Hit,No
Q017,agent phone is not getting queue alerts,D054,No,Hit,Miss,exact-match,Miss,No
Q018,idp user creation returns SCIM-409,D010,No,Hit,Miss,exact-match,Hit,No
Q019,I see two upload size docs; which file size limit applies now?,"D050, D051",No,Hit,Miss,exact-match,Hit,No
Q020,how do I restore a deleted workspace myself?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q021,what stays for audit after masking private details from old messages?,D028,No,Hit,Hit,mixed,Hit,No
Q022,same phone suggested combining customers during bulk import,D053,No,Hit,Miss,exact-match,Miss,No
Q023,"when several escalation policies match a custom status, is the queue policy or the status category more important?",disputed: D035 or D060,Yes,Hit,Miss,exact-match,Hit,No
Q024,can a legal hold stop one customer's messages from being deleted?,no answer in corpus,No,Miss,Miss,no-coverage,Miss,Yes
Q025,renewal failed with PAY-1189,D007,No,Hit,Miss,exact-match,Hit,No
Q026,can I resend failed webhooks after the receiver comes back?,D040,No,Hit,Miss,exact-match,Hit,No
Q027,why is the Canvas mobile draft conflict sync still waiting?,D140,No,Miss,Miss,mixed,Hit,No
Q028,webhook API gives HTTP 410 for our endpoint,D005,No,Hit,Hit,mixed,Hit,No
Q029,Teams notifications need what kind of approval?,D057,No,Hit,Miss,exact-match,Hit,No
